AuthorName	TitleName	TagName
Tzu, Sun	El arte de la guerra	Literatura Universal
Tzu, Sun	El arte de la guerra	Ensayo
Tzu, Sun	El arte de la guerra	Autoayuda
Twain, Mark	The Stolen White Elephant	Literatura Universal
Twain, Mark	The Prince and the Pauper	Literatura Universal
Twain, Mark	The Adventures of Tom Sawyer	Infantil y juvenil
Twain, Mark	Las aventuras de Tom Sawyer	Palabras sinfónicas (audiolibros)
Twain, Mark	Las aventuras de Tom Sawyer	Literatura Universal
Twain, Mark	Las aventuras de Huckleberry Finn	Literatura Universal
Twain, Mark	El robo del elefante blanco	Literatura Universal
Twain, Mark	El príncipe y el mendigo	Literatura Universal
Twain, Mark	Adventures of Huckleberry Finn	Infantil y juvenil
Tolstoy, Leo	Anna Karenina	Literatura Universal
Tolstói, León	La camisa del hombre feliz	Literatura Universal
Tolstói, León	Ana Karenina	Literatura Universal
Thoreau, Henry David	Un paseo invernal	Ensayo
Thoreau, Henry David	Todo lo bueno es libre y salvaje	Ensayo
Thoreau, Henry David	Cartas a un buscador de sí mismo	Ensayo
Thackeray, William Makepeace	Vanity Fair	Literatura Universal
Tárrago y Mateos	El cuento de la abuelita	Literatura Hispanoamericana
